date,open,high,low,close,volume
14-11-2019,49.6672,49.7972,49.5806,49.7886,430256
15-11-2019,49.8492,49.9272,49.7366,49.8146,711854
18-11-2019,49.7452,50.1266,49.7192,50.0486,567143
19-11-2019,50.0832,50.1526,49.9012,49.9359,411079
20-11-2019,49.7799,49.8406,49.5892,49.6586,695356
21-11-2019,49.7712,49.7972,49.5026,49.6499,1252858
22-11-2019,49.7279,49.7452,49.2166,49.2686,1179676
25-11-2019,49.3466,49.4766,49.1559,49.3899,851992
26-11-2019,49.2599,49.6326,48.7919,49.0519,1041878
27-11-2019,49.0433,49.2599,48.8743,48.8873,1161224
29-11-2019,48.8266,48.9003,48.6186,48.6359,438348
02-12-2019,48.7659,48.8353,48.4539,48.6533,749599
03-12-2019,48.3066,48.3413,47.9383,48.1853,946649
04-12-2019,48.3673,48.7399,48.2026,48.7313,756175
05-12-2019,48.9133,49.2599,48.7139,49.2426,1471046
06-12-2019,49.2426,49.4159,49.0606,49.1473,662420
09-12-2019,49.0866,49.1906,48.8959,49.1126,595031
10-12-2019,49.0953,49.0953,48.5926,48.8526,668471
11-12-2019,48.9739,49.0693,48.8613,49.0259,492792
12-12-2019,49.0953,49.4766,48.9739,49.1646,972679
13-12-2019,48.9913,49.1386,48.3153,48.5059,1271282
16-12-2019,48.8959,49.0433,48.7746,48.7746,682576
17-12-2019,48.7486,49.0433,48.5839,49.0346,770369
18-12-2019,49.1126,49.1299,48.4799,48.6446,805850
19-12-2019,48.6013,48.7919,48.3889,48.4366,702212
20-12-2019,48.4193,48.6966,48.4106,48.5146,617322
23-12-2019,48.5233,48.5753,48.2719,48.3239,813523
24-12-2019,48.3239,48.3499,48.0986,48.3326,267845
26-12-2019,48.3759,48.4106,48.2026,48.3933,253815
27-12-2019,48.5579,48.6879,48.4886,48.6186,588230
30-12-2019,48.7139,48.8266,48.5059,48.6966,674075
31-12-2019,48.7659,49.0173,48.7139,48.9566,623268
02-01-2020,49.0519,49.2079,48.9739,49.1559,738096
03-01-2020,48.8613,49.1646,48.7833,49.0953,794055
06-01-2020,49.0111,49.09,48.7302,49.0111,1310202
07-01-2020,48.7478,48.7829,48.3004,48.432,1425741
08-01-2020,48.4057,49.0725,48.4057,48.7391,764279
09-01-2020,48.818,48.8795,48.4057,48.546,870495
10-01-2020,48.546,48.546,48.2126,48.3881,783377
13-01-2020,48.4583,48.5592,48.2828,48.5548,786430
14-01-2020,48.511,48.6601,48.353,48.4057,685798
15-01-2020,48.4057,48.5987,48.2477,48.5811,628893
16-01-2020,48.6864,48.818,48.5636,48.8093,591147
17-01-2020,48.818,48.8882,48.5724,48.6689,562209
21-01-2020,48.7128,48.8882,48.6689,48.7215,505049
22-01-2020,48.8356,49.0286,48.6832,48.976,717971
23-01-2020,48.8531,49.1076,48.6952,49.0725,574723
24-01-2020,49.09,49.2129,48.7478,48.9496,637866
27-01-2020,48.2477,48.7654,48.2477,48.7215,811597
28-01-2020,48.8444,48.8444,48.5811,48.7654,567190
29-01-2020,48.7654,48.8531,48.4846,48.4934,545876
30-01-2020,48.2477,48.4671,47.9714,48.353,776280
31-01-2020,47.9933,48.0459,47.7038,47.9231,913428
03-02-2020,48.0196,48.1495,47.6687,47.6862,491588
04-02-2020,48.2477,48.3004,48.0986,48.2039,569838
05-02-2020,48.4408,48.4934,48.1819,48.3881,626328
06-02-2020,48.4759,48.9146,48.4434,48.8356,1263247
07-02-2020,48.6338,49.0944,48.6075,49.0549,1119086
10-02-2020,48.9584,49.1076,48.9146,49.0023,719915
11-02-2020,49.1339,49.2392,49.0286,49.0725,494462
12-02-2020,49.1778,49.4322,49.1251,49.3971,507664
13-02-2020,49.2567,49.4498,49.2392,49.3708,534540
14-02-2020,49.3971,49.5858,49.362,49.4849,575969
18-02-2020,49.2918,49.4761,49.2304,49.4059,558297
19-02-2020,49.5463,49.6516,49.4498,49.4849,489555
20-02-2020,49.4585,49.6472,49.2918,49.362,655841
21-02-2020,49.2392,49.4234,49.1514,49.2743,671611
24-02-2020,48.3618,48.6338,48.1512,48.2477,1074735
25-02-2020,48.6338,48.6338,47.5546,47.7388,1352054
26-02-2020,47.9319,48.432,47.6467,47.7476,1106604
27-02-2020,47.1949,47.2738,46.2166,46.8615,2363929
28-02-2020,45.7559,46.3701,44.94,45.9314,2388389
02-03-2020,45.8349,46.5456,45.3436,46.4403,1867053
03-03-2020,46.4666,46.8,45.6156,45.7033,1996453
04-03-2020,46.2561,46.3613,45.7296,46.2999,2995933
05-03-2020,45.5541,45.6331,44.5188,44.9137,2698149
06-03-2020,44.0801,44.3609,43.6414,43.8783,3020207
09-03-2020,39.9739,42.0621,38.0086,38.07,3372872
10-03-2020,39.5352,39.6318,37.3067,38.5789,4336389
11-03-2020,37.6576,38.4911,37.1663,37.3242,4355364
12-03-2020,35.0518,35.0518,31.007,32.288,3681326
13-03-2020,33.8673,37.5787,33.5076,37.5611,4117270
16-03-2020,32.3494,35.2623,32.2617,32.9811,3167311
17-03-2020,33.4111,34.4551,31.5159,33.2707,2159322
18-03-2020,31.7089,32.1652,29.0329,30.6473,2719447
19-03-2020,30.0419,30.8929,29.1118,30.7438,1816995
20-03-2020,31.823,33.7269,29.9366,30.5595,2305364
23-03-2020,30.0506,30.6999,28.0223,28.2169,3252399
24-03-2020,30.0243,32.1652,29.8313,31.9985,2795303
25-03-2020,32.674,36.3766,31.9195,35.0518,3979202
26-03-2020,35.5168,37.4295,35.3764,36.324,2686560
27-03-2020,34.9026,35.2623,33.7883,33.9901,1750245
30-03-2020,33.7796,34.1919,32.7355,33.9814,1829900
31-03-2020,33.7971,35.9818,33.7883,35.6221,2103712
01-04-2020,34.2533,34.7184,33.4725,33.6041,2991570
